X,Y,OBJECTID,EVENT_UNIQUE_ID,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_DOY,DIVISION,HOMICIDE_TYPE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84
-8835317.23149885,5412147.59792388,29,GO-2004456829,2004/06/18 04:00:00+00,2004,June,18,Friday,170,D51,Stabbing,73,Moss Park,73,Moss Park (73),-79.36900509117,43.6546142868365
-8853815.36828196,5420857.48135042,30,GO-2004510813,2004/06/19 04:00:00+00,2004,June,19,Saturday,171,D31,Shooting,23,Pelmo Park-Humberlea,23,Pelmo Park-Humberlea (23),-79.535176680745,43.7111969561386
-8852422.60916707,5430246.99276161,31,GO-2004564223,2004/07/01 04:00:00+00,2004,July,1,Thursday,183,D31,Shooting,24,Black Creek,24,Black Creek (24),-79.5226653126497,43.7721349651094
-8824941.41727775,5419061.57771693,32,GO-2004565547,2004/07/05 04:00:00+00,2004,July,5,Monday,187,D41,Stabbing,121,Oakridge,121,Oakridge (121),-79.2757975656285,43.6995344596809
-8848257.25846433,5408383.71213568,33,GO-2004565561,2004/07/07 04:00:00+00,2004,July,7,Wednesday,189,D22,Stabbing,16,Stonegate-Queensway,16,Stonegate-Queensway (16),-79.4852473307563,43.6301461597823
-8850494.11465003,5420428.0377333,34,GO-2004564251,2004/07/08 04:00:00+00,2004,July,8,Thursday,190,D31,Stabbing,28,Rustic,28,Rustic (28),-79.5053413518335,43.7084083804303
-8840152.93392627,5429527.17455786,35,GO-2004565588,2004/07/09 04:00:00+00,2004,July,9,Friday,191,D32,Stabbing,151,Yonge-Doris,51,Willowdale East (51),-79.4124449445995,43.7674655342457
-8820517.39191577,5433290.11189817,36,GO-2004986698,2004/07/12 04:00:00+00,2004,July,12,Monday,194,D42,Other,146,Malvern East,132,Malvern (132),-79.2360558701996,43.7918715254841
-8833906.90772679,5434675.33354073,37,GO-2004592201,2004/07/21 04:00:00+00,2004,July,21,Wednesday,203,D33,Shooting,48,Hillcrest Village,48,Hillcrest Village (48),-79.3563359367133,43.8008534089183
-8846298.23914103,5413475.63330414,38,GO-2004593866,2004/07/23 04:00:00+00,2004,July,23,Friday,205,D11,Other,90,Junction Area,90,Junction Area (90),-79.4676491610804,43.6632451509732
-8835059.42257131,5411541.52790918,39,GO-2004594159,2004/07/24 04:00:00+00,2004,July,24,Saturday,206,D51,Shooting,73,Moss Park,73,Moss Park (73),-79.3666891536093,43.6506750428497
-8844711.10350479,5413486.23775033,40,GO-2004607864,2004/08/05 04:00:00+00,2004,August,5,Thursday,218,D11,Other,171,Junction-Wallace Emerson,93,Dovercourt-Wallace Emerson-Junction (93),-79.4533916786962,43.663314063625
-8850326.39068645,5419575.46368979,41,GO-2004616055,2004/08/18 04:00:00+00,2004,August,18,Wednesday,231,D31,Stabbing,28,Rustic,28,Rustic (28),-79.5038346618397,43.7028718381898
-8843343.39327909,5419479.27563463,42,GO-2004605174,2004/08/19 04:00:00+00,2004,August,19,Thursday,232,D13,Stabbing,108,Briar Hill-Belgravia,108,Briar Hill-Belgravia (108),-79.4411053291657,43.702247168808
-8811803.61620876,5433594.11157649,43,GO-2004592255,2004/08/30 04:00:00+00,2004,August,30,Monday,243,D42,Shooting,134,Highland Creek,134,Highland Creek (134),-79.1577786914564,43.7938427978746
-8835729.93147909,5411798.05311085,44,GO-2004635798,2004/08/30 04:00:00+00,2004,August,30,Monday,243,D51,Other,73,Moss Park,73,Moss Park (73),-79.3727124378987,43.6523423989601
-8855108.04193511,5426699.29920239,45,GO-2004642839,2004/08/31 04:00:00+00,2004,August,31,Tuesday,244,D31,Stabbing,22,Humbermede,22,Humbermede (22),-79.5467889663969,43.7491176935986
-8856562.48095345,5419099.22536996,46,GO-2004642110,2004/09/05 04:00:00+00,2004,September,5,Sunday,249,D23,Shooting,6,Kingsview Village-The Westway,6,Kingsview Village-The Westway (6),-79.5598544144742,43.6997789649424
-8862620.06963773,5424089.9638562,47,GO-2004650681,2004/09/21 04:00:00+00,2004,September,21,Tuesday,265,D23,Shooting,1,West Humber-Clairville,1,West Humber-Clairville (1),-79.6142706588588,43.7321827958697
-8848873.31989597,5426134.80973659,48,GO-2004633558,2004/09/22 04:00:00+00,2004,September,22,Wednesday,266,D11,Other,27,York University Heights,27,York University Heights (27),-79.4907815047579,43.7454544964832
-8831784.85087916,5413061.99369069,49,GO-2004676448,2004/10/08 04:00:00+00,2004,October,8,Friday,282,D55,Other,70,South Riverdale,70,South Riverdale (70),-79.3372731762705,43.6605570516848
-8849960.57079469,5420867.39509562,50,GO-2004683174,2004/10/15 04:00:00+00,2004,October,15,Friday,289,D31,Shooting,28,Rustic,28,Rustic (28),-79.5005484462525,43.7112613294418
-8846879.14131338,5411725.81096269,51,GO-2004643900,2004/10/21 04:00:00+00,2004,October,21,Thursday,295,D11,Other,88,High Park North,88,High Park North (88),-79.4728674941663,43.6518728455116
-8836383.21235984,5419289.34940245,52,GO-2004696852,2004/10/27 04:00:00+00,2004,October,27,Wednesday,301,D53,Other,99,Mount Pleasant East,99,Mount Pleasant East (99),-79.3785809595659,43.7010137221907
